Date,High,Low,OpenPrice,Close,Average
16/11/2020-20:11:41,0.24,0.22,0.23,0.24,0.23
16/11/2020-20:12:41,0.24,0.22,0.23,0.24,0.23
16/11/2020-20:13:40,0.24,0.22,0.23,0.24,0.23
16/11/2020-20:14:40,0.24,0.22,0.23,0.24,0.23
