Date,High,Low,OpenPrice,Close,Average
16/11/2020-20:11:34,0.09,0.08,0.09,0.09,0.09
16/11/2020-20:12:35,0.09,0.08,0.09,0.09,0.09
16/11/2020-20:13:34,0.09,0.08,0.09,0.09,0.09
16/11/2020-20:14:34,0.09,0.08,0.09,0.09,0.09
